ticker,company_name,cik,year,revenue,net_income,assets,liabilities,equity,cash,debt,operating_income,gross_profit,shares_outstanding,data_source,data_quality_flag
GRMN,Garmin LTD,1121788,2019,3121560000.0,709007000.0,5382858000.0,,3453259000.0,1201732000.0,,683637000.0,1797941000.0,190687357.0,sec_company_facts,ok
GRMN,Garmin LTD,1121788,2020,3347444000.0,694080000.0,6166799000.0,,3852419000.0,1027567000.0,,778343000.0,1979719000.0,191571374.0,sec_company_facts,ok
GRMN,Garmin LTD,1121788,2021,3757505000.0,952486000.0,7031373000.0,,4162974000.0,1458442000.0,,945586000.0,2233976000.0,192787080.0,sec_company_facts,ok
GRMN,Garmin LTD,1121788,2022,4186573000.0,992324000.0,7854427000.0,,4793496000.0,1498058000.0,,1054240000.0,2481336000.0,191359482.0,sec_company_facts,ok
GRMN,Garmin LTD,1121788,2023,4982795000.0,1082200000.0,7731170000.0,,5516116000.0,1279194000.0,,1218620000.0,2890459000.0,191777417.0,sec_company_facts,ok
GRMN,Garmin LTD,1121788,2024,4860286000.0,973585000.0,8603569000.0,,6114159000.0,1693452000.0,,1027845000.0,2806775000.0,192403775.0,sec_company_facts,ok
LOGI,Logitech International SA,1032975,2017,2004908000.0,9283000.0,1324147000.0,564199000.0,804128000.0,519195000.0,,154184000.0,705457000.0,163570990.0,sec_company_facts,ok
LOGI,Logitech International SA,1032975,2018,2018100000.0,119317000.0,1498677000.0,642566000.0,758134000.0,537038000.0,,129058000.0,681047000.0,165449160.0,sec_company_facts,ok
LOGI,Logitech International SA,1032975,2019,2221427000.0,205876000.0,1743157000.0,692600000.0,759948000.0,641947000.0,,211860000.0,820041000.0,166598546.0,sec_company_facts,ok
LOGI,Logitech International SA,1032975,2020,2566863000.0,208542000.0,2024124000.0,847785000.0,856111000.0,604516000.0,,229733000.0,909241000.0,167817568.0,sec_company_facts,ok
LOGI,Logitech International SA,1032975,2021,2788322000.0,257573000.0,2363474000.0,874206000.0,1050557000.0,715566000.0,,263194000.0,1037011000.0,168439978.0,sec_company_facts,ok
LOGI,Logitech International SA,1032975,2022,2975851000.0,449723000.0,4142378000.0,1880589000.0,1176339000.0,1750327000.0,,276495000.0,1122381000.0,164684163.0,sec_company_facts,ok
LOGI,Logitech International SA,1032975,2023,5252279000.0,947257000.0,4035405000.0,1636667000.0,1489268000.0,1328716000.0,,1148125000.0,2335735000.0,158737710.0,sec_company_facts,ok
LOGI,Logitech International SA,1032975,2024,5481101000.0,644513000.0,3560753000.0,1303193000.0,2261789000.0,1149023000.0,,774012000.0,2263006000.0,153443934.0,sec_company_facts,ok
HPQ,HP Inc,47217,2017,51463000000.0,4554000000.0,28987000000.0,,28987000000.0,15133000000.0,6735000000.0,3920000000.0,,165228387.0,sec_company_facts,ok
HPQ,HP Inc,47217,2018,48238000000.0,2496000000.0,32913000000.0,,32913000000.0,17433000000.0,6747000000.0,3549000000.0,,1553494507.0,sec_company_facts,ok
HPQ,HP Inc,47217,2019,52056000000.0,2526000000.0,34622000000.0,,34622000000.0,6288000000.0,4524000000.0,3368000000.0,,1433345730.0,sec_company_facts,ok
HPQ,HP Inc,47217,2020,58472000000.0,5327000000.0,33467000000.0,,-3408000000.0,4537000000.0,6261000000.0,3831000000.0,,1289636312.0,sec_company_facts,ok
HPQ,HP Inc,47217,2021,58756000000.0,3152000000.0,34681000000.0,,-639000000.0,4864000000.0,7573000000.0,3877000000.0,,1082722559.0,sec_company_facts,ok
HPQ,HP Inc,47217,2022,56638000000.0,2815000000.0,38605000000.0,,-1211000000.0,4299000000.0,11190000000.0,3442000000.0,,982145796.0,sec_company_facts,ok
HPQ,HP Inc,47217,2023,63460000000.0,6541000000.0,38494000000.0,,-2275000000.0,3145000000.0,9612000000.0,5359000000.0,,990902449.0,sec_company_facts,ok
HPQ,HP Inc,47217,2024,62910000000.0,3132000000.0,37004000000.0,,-1644000000.0,3107000000.0,9748000000.0,4559000000.0,12263000000.0,937797736.0,sec_company_facts,ok
INTC,Intel Corp,50863,2017,55355000000.0,11420000000.0,113327000000.0,,55865000000.0,2561000000.0,25258000000.0,14002000000.0,34679000000.0,4668000000.0,sec_company_facts,ok
INTC,Intel Corp,50863,2018,59387000000.0,10316000000.0,123249000000.0,,61085000000.0,15308000000.0,26776000000.0,13133000000.0,36233000000.0,4497000000.0,sec_company_facts,ok
INTC,Intel Corp,50863,2019,62761000000.0,9601000000.0,127963000000.0,,66226000000.0,,25859000000.0,18050000000.0,39098000000.0,4277000000.0,sec_company_facts,ok
