ticker,year,market_cap,price_used,shares_used,data_source,data_quality_flag
HPQ,2021,34107237176.015724,31.50136375427246,1082722559.0,yfinance+sec_facts,ok
HPQ,2022,22717675850.518227,23.13065528869629,982145796.0,yfinance+sec_facts,ok
HPQ,2023,26606844341.54735,26.851123809814453,990902449.0,yfinance+sec_facts,ok
HPQ,2024,28251536002.93268,30.125404357910156,937797736.0,yfinance+sec_facts,ok
SNDK,2017,,,,yfinance,missing_price
SNDK,2018,,,,yfinance,missing_price
SNDK,2019,,,,yfinance,missing_price
SNDK,2020,,,,yfinance,missing_price
SNDK,2021,,,,yfinance,missing_price
SNDK,2022,,,,yfinance,missing_price
SNDK,2023,,,,yfinance,missing_price
SNDK,2024,,,,yfinance,missing_price
INTC,2017,180890306488.0371,38.751136779785156,4668000000.0,yfinance+sec_facts,ok
