ticker,current_price,current_market_cap,previous_close,daily_change_pct,volume,shares_outstanding,last_updated,data_quality_flag
MRK,130.72000122070312,322855450543.7224,127.47000122070312,2.5496194939018713,2291452.0,2469824415.0,2026-07-23T11:28:58,ok
MRVL,205.8699951171875,184777465980.46887,210.99000549316406,-2.4266601462989428,7336103.0,897544423.0,2026-07-23T11:28:58,ok
MSFT,378.364990234375,2810659624235.6523,390.3399963378906,-3.0678398872427315,12173602.0,7428434704.0,2026-07-23T11:28:58,ok
MSI,404.75,67186711814.5,404.3299865722656,0.10387887163528652,150578.0,165995582.0,2026-07-23T11:28:58,ok
MU,981.1199951171875,1108070202794.505,959.47998046875,2.255389907965079,18062798.0,1129393151.0,2026-07-23T11:28:58,ok
NEE,90.2699966430664,188267588665.42133,89.41000366210938,0.9618531995670676,2117052.0,2085605358.0,2026-07-23T11:28:58,ok
NFLX,68.67009735107422,285958569956.63544,68.52999877929688,0.2044339329824532,14103712.0,4163939676.0,2026-07-23T11:28:58,ok
NKE,40.92499923706055,60712183288.45531,42.209999084472656,-3.0443020025669907,5701165.0,1483498703.0,2026-07-23T11:28:58,ok
NOC,539.7050170898438,76672127875.16492,525.280029296875,2.746151954849232,342587.0,142063026.0,2026-07-23T11:28:58,ok
NOW,94.56500244140625,97489339406.4331,95.45999908447266,-0.9375619648544337,25683419.0,1031308000.0,2026-07-23T11:28:58,ok
NVDA,206.1638946533203,4993495692398.071,212.05999755859375,-2.7803937438244573,39746793.0,24221000000.0,2026-07-23T11:28:58,ok
OKTA,134.16000366210938,23317996724.90158,136.69000244140625,-1.850902578176036,664667.0,173807365.0,2026-07-23T11:28:58,ok
ON,88.13999938964844,34302818722.73996,92.33000183105469,-4.538072520645143,2969819.0,389185602.0,2026-07-23T11:28:58,ok
ORCL,119.94499969482422,345498093215.95,125.83999633789062,-4.6845174941342655,11479318.0,2880471000.0,2026-07-23T11:28:58,ok
OXY,58.45000076293945,58136399032.29605,57.5,1.6521752398947012,2810344.0,994634701.0,2026-07-23T11:28:58,ok
PANW,324.010009765625,264068157958.98438,335.2799987792969,-3.361366337003155,2020431.0,815000000.0,2026-07-23T11:28:58,ok
PEP,134.9250030517578,184157997628.46848,135.64999389648438,-0.5344569681881511,1912507.0,1364891558.0,2026-07-23T11:28:58,ok
PFE,25.024999618530273,142628588155.0596,24.81999969482422,0.82594651984949,9752107.0,5699444169.0,2026-07-23T11:28:58,ok
