ticker,year,report_risk_score_real,risk_score_source,risk_score_components,filing_data_quality_flag,filing_warning_text
LOGI,2024,50.6,real_sec_filing,"risk_per1k=11.5, debt=10, legal=16, uncertainty=7, cost+cyber=25",ok,
LRCX,2010,52.2,real_sec_filing,"risk_per1k=11.4, debt=6, legal=24, uncertainty=25, cost+cyber=9",ok,
LRCX,2011,58.4,real_sec_filing,"risk_per1k=10.8, debt=20, legal=21, uncertainty=20, cost+cyber=9",ok,
LRCX,2012,40.1,real_sec_filing,"risk_per1k=7.2, debt=18, legal=13, uncertainty=11, cost+cyber=6",ok,
LRCX,2013,51.8,real_sec_filing,"risk_per1k=10.5, debt=18, legal=16, uncertainty=16, cost+cyber=5",ok,
LRCX,2014,56.3,real_sec_filing,"risk_per1k=10.5, debt=29, legal=16, uncertainty=24, cost+cyber=4",ok,
LRCX,2015,56.9,real_sec_filing,"risk_per1k=10.3, debt=31, legal=17, uncertainty=24, cost+cyber=5",ok,
LRCX,2017,50.3,real_sec_filing,"risk_per1k=8.7, debt=30, legal=15, uncertainty=18, cost+cyber=5",ok,
LRCX,2018,48.3,real_sec_filing,"risk_per1k=6.9, debt=34, legal=17, uncertainty=18, cost+cyber=7",ok,
LRCX,2019,49.5,real_sec_filing,"risk_per1k=7.4, debt=36, legal=18, uncertainty=17, cost+cyber=7",ok,
LRCX,2020,49.9,real_sec_filing,"risk_per1k=9.6, debt=8, legal=22, uncertainty=17, cost+cyber=17",ok,
LRCX,2021,49.5,real_sec_filing,"risk_per1k=9.8, debt=7, legal=29, uncertainty=15, cost+cyber=9",ok,
LRCX,2022,49.8,real_sec_filing,"risk_per1k=9.7, debt=7, legal=28, uncertainty=15, cost+cyber=12",ok,
LRCX,2023,54.0,real_sec_filing,"risk_per1k=9.9, debt=7, legal=35, uncertainty=14, cost+cyber=17",ok,
LRCX,2024,51.8,real_sec_filing,"risk_per1k=9.4, debt=7, legal=33, uncertainty=14, cost+cyber=16",ok,
META,2017,44.4,real_sec_filing,"risk_per1k=9.8, debt=1, legal=78, uncertainty=16, cost+cyber=1",ok,
META,2018,43.0,real_sec_filing,"risk_per1k=10.2, debt=0, legal=63, uncertainty=12, cost+cyber=3",ok,
META,2019,36.0,real_sec_filing,"risk_per1k=9.3, debt=0, legal=42, uncertainty=10, cost+cyber=5",ok,
META,2020,42.1,real_sec_filing,"risk_per1k=12.1, debt=1, legal=43, uncertainty=8, cost+cyber=3",ok,
META,2021,41.2,real_sec_filing,"risk_per1k=10.8, debt=1, legal=54, uncertainty=7, cost+cyber=3",ok,
META,2022,39.1,real_sec_filing,"risk_per1k=10.0, debt=1, legal=57, uncertainty=6, cost+cyber=4",ok,
META,2023,39.7,real_sec_filing,"risk_per1k=9.6, debt=1, legal=65, uncertainty=6, cost+cyber=7",ok,
META,2024,43.9,real_sec_filing,"risk_per1k=10.2, debt=1, legal=77, uncertainty=7, cost+cyber=10",ok,
MSFT,2010,27.1,real_sec_filing,"risk_per1k=7.6, debt=1, legal=18, uncertainty=14, cost+cyber=4",ok,
